created_at,fan_activation
2026-02-26T00:02:33+00:00,1
2026-02-26T00:07:36+00:00,1
2026-02-26T00:12:32+00:00,1
2026-02-26T00:17:33+00:00,0
2026-02-26T00:22:46+00:00,0
2026-02-26T00:27:55+00:00,0
2026-02-26T00:37:35+00:00,0
2026-02-26T00:42:52+00:00,0
2026-02-26T00:47:49+00:00,1
2026-02-26T00:52:47+00:00,1
2026-02-26T00:57:52+00:00,0
2026-02-26T01:02:42+00:00,0
2026-02-26T01:07:42+00:00,1
2026-02-26T01:12:34+00:00,1
2026-02-26T01:17:47+00:00,0
2026-02-26T01:22:55+00:00,0
2026-02-26T01:27:34+00:00,0
2026-02-26T01:32:48+00:00,0
2026-02-26T01:37:41+00:00,0
2026-02-26T01:42:57+00:00,0
2026-02-26T01:47:51+00:00,0
2026-02-26T01:52:34+00:00,0
2026-02-26T01:57:37+00:00,0
2026-02-26T02:07:44+00:00,0
2026-02-26T02:12:36+00:00,0
2026-02-26T02:18:11+00:00,0
2026-02-26T02:22:36+00:00,0
2026-02-26T02:27:30+00:00,0
2026-02-26T02:32:34+00:00,0
2026-02-26T02:37:30+00:00,0
2026-02-26T02:42:31+00:00,0
2026-02-26T02:47:31+00:00,0
2026-02-26T02:52:30+00:00,0
2026-02-26T02:57:30+00:00,0
2026-02-26T03:02:48+00:00,0
2026-02-26T03:07:31+00:00,0
2026-02-26T03:12:30+00:00,0
2026-02-26T03:17:30+00:00,0
2026-02-26T03:22:30+00:00,0
2026-02-26T03:27:30+00:00,0
2026-02-26T03:32:33+00:00,0
2026-02-26T03:37:30+00:00,0
2026-02-26T03:42:31+00:00,0
2026-02-26T03:47:30+00:00,0
2026-02-26T03:52:31+00:00,0
2026-02-26T03:57:30+00:00,0
2026-02-26T04:02:33+00:00,0
2026-02-26T04:07:31+00:00,0
2026-02-26T04:17:30+00:00,0
2026-02-26T04:22:30+00:00,0
2026-02-26T04:27:30+00:00,0
2026-02-26T04:32:30+00:00,0
2026-02-26T04:37:30+00:00,0
2026-02-26T04:42:31+00:00,0
2026-02-26T04:47:31+00:00,0
2026-02-26T04:52:30+00:00,0
2026-02-26T04:57:30+00:00,0
2026-02-26T05:02:44+00:00,0
2026-02-26T05:07:30+00:00,0
2026-02-26T05:12:30+00:00,0
2026-02-26T05:17:31+00:00,0
2026-02-26T05:27:31+00:00,0
2026-02-26T05:32:32+00:00,0
2026-02-26T05:37:31+00:00,0
2026-02-26T05:42:31+00:00,0
2026-02-26T05:47:31+00:00,0
2026-02-26T05:52:31+00:00,0
2026-02-26T05:57:31+00:00,0
2026-02-26T06:02:39+00:00,0
2026-02-26T06:07:30+00:00,0
2026-02-26T06:12:30+00:00,0
2026-02-26T06:17:30+00:00,0
2026-02-26T06:22:30+00:00,0
2026-02-26T06:27:30+00:00,0
2026-02-26T06:32:32+00:00,0
2026-02-26T06:37:30+00:00,0
2026-02-26T06:42:30+00:00,0
2026-02-26T06:47:31+00:00,0
2026-02-26T06:52:31+00:00,0
2026-02-26T06:57:30+00:00,0
2026-02-26T07:02:32+00:00,0
2026-02-26T07:07:30+00:00,0
2026-02-26T07:17:31+00:00,0
2026-02-26T07:22:30+00:00,0
2026-02-26T07:27:30+00:00,0
2026-02-26T07:32:33+00:00,0
2026-02-26T07:37:31+00:00,0
2026-02-26T07:42:30+00:00,0
2026-02-26T07:47:30+00:00,0
2026-02-26T07:52:30+00:00,0
2026-02-26T07:57:31+00:00,0
2026-02-26T08:02:34+00:00,0
2026-02-26T08:07:31+00:00,0
2026-02-26T08:12:31+00:00,0
2026-02-26T08:17:30+00:00,0
2026-02-26T08:22:31+00:00,0
2026-02-26T08:27:30+00:00,0
2026-02-26T08:32:32+00:00,0
2026-02-26T08:37:30+00:00,0
2026-02-26T08:42:33+00:00,0
2026-02-26T08:47:31+00:00,0
2026-02-26T08:52:30+00:00,0
2026-02-26T08:57:30+00:00,0
2026-02-26T09:02:35+00:00,0
2026-02-26T09:07:30+00:00,0
2026-02-26T09:12:30+00:00,0
2026-02-26T09:17:31+00:00,0
2026-02-26T09:22:31+00:00,0
2026-02-26T09:27:30+00:00,0
2026-02-26T09:32:38+00:00,0
2026-02-26T09:37:30+00:00,0
2026-02-26T09:42:31+00:00,0
2026-02-26T09:47:31+00:00,0
2026-02-26T09:52:31+00:00,1
2026-02-26T09:57:30+00:00,1
2026-02-26T10:02:33+00:00,0
2026-02-26T10:07:30+00:00,0
2026-02-26T10:12:31+00:00,0
2026-02-26T10:17:31+00:00,0
2026-02-26T10:22:31+00:00,0
2026-02-26T10:27:30+00:00,0
2026-02-26T10:32:31+00:00,0
2026-02-26T10:37:30+00:00,0
2026-02-26T10:42:31+00:00,0
2026-02-26T10:47:30+00:00,0
2026-02-26T10:52:31+00:00,0
2026-02-26T10:57:30+00:00,0
2026-02-26T11:02:57+00:00,0
2026-02-26T11:07:30+00:00,1
2026-02-26T11:12:31+00:00,1
2026-02-26T11:17:30+00:00,1
2026-02-26T11:27:31+00:00,1
2026-02-26T11:32:33+00:00,1
2026-02-26T11:37:31+00:00,0
2026-02-26T11:42:31+00:00,0
2026-02-26T11:47:30+00:00,0
2026-02-26T11:52:31+00:00,0
2026-02-26T11:57:31+00:00,0
2026-02-26T12:02:34+00:00,0
2026-02-26T12:07:30+00:00,0
2026-02-26T12:12:30+00:00,0
2026-02-26T12:17:31+00:00,0
2026-02-26T12:22:31+00:00,0
2026-02-26T12:27:31+00:00,0
2026-02-26T12:32:31+00:00,0
2026-02-26T12:37:31+00:00,0
2026-02-26T12:42:31+00:00,0
2026-02-26T12:47:31+00:00,1
2026-02-26T12:52:31+00:00,1
2026-02-26T12:57:30+00:00,1
2026-02-26T13:02:32+00:00,1
2026-02-26T13:07:30+00:00,1
2026-02-26T13:12:31+00:00,1
2026-02-26T13:17:31+00:00,1
2026-02-26T13:22:31+00:00,1
2026-02-26T13:27:31+00:00,1
2026-02-26T13:32:32+00:00,1
2026-02-26T13:37:30+00:00,1
2026-02-26T13:42:31+00:00,0
2026-02-26T13:47:31+00:00,0
2026-02-26T13:52:31+00:00,0
2026-02-26T13:57:31+00:00,0
2026-02-26T14:02:54+00:00,0
2026-02-26T14:07:30+00:00,0
2026-02-26T14:12:31+00:00,0
2026-02-26T14:17:30+00:00,0
2026-02-26T14:22:31+00:00,0
2026-02-26T14:27:31+00:00,0
2026-02-26T14:32:31+00:00,0
2026-02-26T14:37:30+00:00,0
2026-02-26T14:42:31+00:00,0
2026-02-26T14:47:35+00:00,0
2026-02-26T14:52:30+00:00,0
2026-02-26T14:57:30+00:00,0
2026-02-26T15:02:35+00:00,0
2026-02-26T15:07:30+00:00,0
2026-02-26T15:17:30+00:00,0
2026-02-26T15:22:31+00:00,0
2026-02-26T15:27:30+00:00,0
2026-02-26T15:32:38+00:00,0
2026-02-26T15:37:30+00:00,0
2026-02-26T15:47:30+00:00,0
2026-02-26T15:52:31+00:00,0
2026-02-26T15:57:31+00:00,0
2026-02-26T16:02:32+00:00,0
2026-02-26T16:07:31+00:00,0
2026-02-26T16:12:30+00:00,0
2026-02-26T16:17:37+00:00,0
2026-02-26T16:22:31+00:00,0
2026-02-26T16:29:16+00:00,0
2026-02-26T16:34:07+00:00,0
2026-02-26T16:37:35+00:00,0
2026-02-26T16:42:32+00:00,0
2026-02-26T16:47:34+00:00,0
2026-02-26T16:52:33+00:00,0
2026-02-26T16:57:44+00:00,0
2026-02-26T17:02:38+00:00,0
2026-02-26T17:07:32+00:00,0
2026-02-26T17:12:31+00:00,0
2026-02-26T17:17:41+00:00,0
2026-02-26T17:22:54+00:00,0
2026-02-26T17:27:34+00:00,1
2026-02-26T17:32:41+00:00,0
2026-02-26T17:37:32+00:00,0
