created_at, window_status
2026-02-26T00:00:00+00:00,1
2026-02-26T03:30:00+00:00,0
2026-02-26T11:20:00+00:00,1
2026-02-26T12:10:00+00:00,0
2026-02-26T19:20:00+00:00,1
2026-02-26T21:30:00+00:00,0
2026-02-27T01:00:00+00:00,1
2026-02-27T03:00:00+00:00,0
2026-02-28T11:43:00+00:00,1
2026-02-28T13:00:00+00:00,0
2026-03-01T11:00:00+00:00,1
2026-03-01T18:26:00+00:00,0
2026-03-02T10:10:00+00:00,1
2026-03-02T12:50:00+00:00,0
2026-03-03T10:30:00+00:00,1
2026-03-03T11:50:00+00:00,0
2026-03-03T16:20:00+00:00,1
2026-03-03T19:30:00+00:00,0
2026-03-04T11:55:00+00:00,1
2026-03-04T13:12:00+00:00,0
2026-03-04T16:00:00+00:00,1
2026-03-04T18:10:00+00:00,0
2026-03-04T22:20:00+00:00,1
2026-03-05T01:10:00+00:00,0
2026-03-05T10:05:00+00:00,1
2026-03-05T13:40:00+00:00,0
2026-03-06T09:40:00+00:00,1
2026-03-06T11:55:00+00:00,1
2026-03-06T13:10:00+00:00,0
2026-03-06T18:00:00+00:00,0
2026-03-06T22:10:00+00:00,1
2026-03-07T01:40:00+00:00,0
2026-03-07T10:00:00+00:00,1
2026-03-07T22:00:00+00:00,0
2026-03-08T11:25:00+00:00,1
2026-03-08T13:00:00+00:00,1
2026-03-08T16:10:00+00:00,1
2026-03-08T16:20:00+00:00,0
2026-03-08T18:00:00+00:00,0
2026-03-08T18:30:00+00:00,0
2026-03-08T23:40:00+00:00,1
2026-03-09T03:10:00+00:00,0
2026-03-09T10:05:00+00:00,1
2026-03-09T19:00:00+00:00,0
2026-03-10T10:12:00+00:00,1
2026-03-10T12:38:00+00:00,0
2026-03-11T09:20:00+00:00,1
2026-03-11T10:10:00+00:00,0
2026-03-11T16:11:00+00:00,1
2026-03-11T19:45:00+00:00,0
2026-03-11T20:50:00+00:00,1
2026-03-12T00:00:00+00:00,0
2026-03-12T10:30:00+00:00,1
2026-03-12T12:00:00+00:00,0
2026-03-12T13:20:00+00:00,1
2026-03-12T14:20:00+00:00,0
2026-03-13T09:20:00+00:00,1
2026-03-13T10:20:00+00:00,0
2026-03-14T10:34:00+00:00,1
